
"1.27 특징주"

;[1]
"종목명","등락률","거래대금(백만)","이유"
"제주은행","30.00","257,290","원화 스테이블코인 제도화 기대감 속 삼성·신한·하나 원화코인팀 구축 논의 소식에 은행주 강세"
"현대바이오","29.97","118,472","현대ADM바이오, 난치병 치료제 '페니트리움' 임상 돌입  소식"
"제이케이시냅스","29.97","1,716","공공기관 RFID 공급 계약 소식 지속"
"비엘팜텍","29.95","3,990","대표 지분 확대·분자접착제 플랫폼 기술 기대감 지속"
"알로이스","29.95","1,373","소송 등의 제기ㆍ신청(경영권 분쟁 소송)(주주총회소집허가)"
"윌비스","29.94","7,018","100억원 규모 CB발행 결정 소식 지속"
"시선AI","29.89","61,502","로봇 자회사 유온로보틱스, 리더암 상용화 박차…피지컬 AI 시장 공략 본격화"
"한컴위드","29.85","82,970","신규 보안 솔루션 출시와 스테이블코인 정책 기대감에 강세 우주청, 국내 우주기업 美 파견...스페이스X 방문 소식 속 한컴인스페이스 포함 부각 강세"
"메디포스트","29.77","82,567","'메디스템' 日 조기 계약에도 '극심한 저평가' 분석에 강세"
"엔비알모션","29.76","184,541","‘전구동체’가 로봇 산업의 필수 기술로 부상 속 옵티머스·아틀라스 공급 기대감"
"제우스","24.50","317,247","삼성그룹향 로봇 수주 확대 가속 기대감 D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"와이즈버즈","20.50","25,085","모회사 콜옵션 행사로 ‘오버행 우려’ 해소"
"한전산업","20.21","444,791","탈원전 '유턴'…정부, 신규 원전 2기 계획대로  추진 소식 지속 원전 테마 강세"
"나노팀","19.07","115,410","우주청, 민관사절단 미국 파견…스페이스X 직접 간다는 소식 속 일부 우주항공 테마 강세"
"하나마이크론","18.41","684,673","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"한양디지텍","16.98","31,447","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"HEM파마","16.38","14,503","실적 레벨업 본격…올 영업익 115억원 '사상최대' 기대감 지속"
"코아스템켐온","15.62","15,140","식약처 '동물 대체 독성평가' 국책과제 선정"
"서전기전","14.95","17,281","탈원전 '유턴'…정부, 신규 원전 2기 계획대로  추진 소식 지속 원전 테마 강세"
"인피니트헬스케어","14.19","2,805","소송 등의 제기ㆍ신청(경영권 분쟁 소송)(회계장부 등 열람 및 등사 가처분)"
"유니테크노","13.97","50,841","'피지컬 AI 하드웨어' 시장 진출 준비 완료"
"현대ADM","13.56","79,069","난치병 치료제 '페니트리움' 임상 돌입  소식"
"비보존 제약","13.19","56,321","비보존, 어나프라주 임상서 마약성 진통제 동등 효능 확인 소식 지속"
"피에스케이","13.04","74,660","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"NHN KCP","12.71","578,949","원화 스테이블코인 제도화 기대감 속 삼성·신한·하나 원화코인팀 구축 논의 소식에 스테이블코인/전자결제/핀테크 테마 강세"
"SK텔레콤","12.30","541,818","악재 기반영.. 증권가 재평가에 강세"
"씨엠티엑스","10.82","82,932","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"아이티센글로벌","10.78","41,511","원화 스테이블코인 제도화 기대감 속 삼성·신한·하나 원화코인팀 구축 논의 소식에 스테이블코인/STO 테마 강세"
"브이엠","10.67","48,817","우주청, 민관사절단 미국 파견…스페이스X 직접 간다는 소식 속 일부 우주항공 테마 강세"
"리노공업","10.62","245,012","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"케이엔제이","10.57","14,221","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"유진테크","9.77","72,997","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"아이티센엔텍","9.42","3,477","부산 '스마트양식 빅데이터센터' 구축 착수 소식 지속"
"넥스틴","9.38","22,743","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"엘티씨","9.24","14,481","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
"주성엔지니어링","9.10","149,000","D램 이어 낸드까지 폭등세…AI발 반도체 품귀 현상 소식 삼성전자·하이닉스, 실적 발표 앞두고 사상 최고가 소식 속 반도체 테마 강세"
;




























"1.27 시간외"
;[2]
"종목명","등락률","거래대금(백만)","이유"
"모베이스","9.25","2,288","일부 자동차부품 테마 강세"
"모베이스전자","3.82","2,336","일부 자동차부품 테마 강세"
"아바코","3.26","149","100억원 규모 자사주 취득 신탁계약 체결 결정 자동차부품 및 물류자동화 설비업체(YESOL)의 주식 4만8천357주를 약 65억원에 취득"
"유니테크노","2.67","1,916","'피지컬 AI 하드웨어' 시장 진출 준비 완료"
"성우","2.34","64","일부 자동차부품 테마 강세"
"비츠로시스","2.26","3","단일판매ㆍ공급계약체결 정정공시 (계약금액 변경)"
"휴림로봇","1.73","6,740","일부 로봇 테마 강세"
"제이엘케이","1.59","46","동아대병원에 뇌졸중 AI 솔루션 공급....전국 확장 본격화 기대감"
"현대ADM","1.59","381","난치병 치료제 '페니트리움' 임상 돌입  소식"
"씨티알모빌리티","1.43","10","일부 자동차부품 테마 강세"
"와이투솔루션","1.39","339","최대주주등 소유주식수 100,000주 증가 일부 로봇 테마 강세"
"뉴로메카","1.36","3,921","일부 로봇 테마 강세"
"신원종합개발","1.27","7","수주공시 - 이천 대월면 초지리 물류센터 신축공사 422억원 (매출액대비  16.24 %)"
"에스엠코어","1.20","59","일부 로봇 테마 강세"
"알에스오토메이션","1.12","151","일부 로봇 테마 강세"
"아이티아이즈","-7.88","114","발행주식총수 대비  16.38% 전환청구권행사 일부 STO테마 하락"
"한컴위드","-5.53","3,388","일부 우주항공 테마 하락 속 한컴인스페이스 스페이스X 방문 사절단 포함 부각 "
"해성에어로보틱스","-5.16","1,093","칸에스티엔, 310억에 해성에어로보틱스 인수...정작 자기 돈은 68억뿐"
"제노코","-4.44","329","발행주식총수 대비  6.86% 전환청구권행사"
"샘씨엔에스","-4.43","467","발행주식총수 대비  3.13% 전환청구권행사"
"센서뷰","-3.94","257","938,965주 추가상장(유상증자(제3자배정)) 일부 우주항공 테마 하락"
"퓨런티어","-2.78","264","작년 연간 영업손실 71억...적자지속"
"다원넥스뷰","-1.69","15","임원ㆍ주요주주 특정증권등 소유주식수 &#8211;0.22%변동"
"켄코아에어로스페이스","-1.45","325","47,819 주 추가상장(국내사모 전환사채 전환) 일부 우주항공 테마 하락"
;

